TITULO_ORIGINAL;PUBLICO;ANO_LANCAMENTO;CLASSIFICACAO;GENEROS;ATORES_PRINCIPAIS;DIRETORES;PRODUTORAS
IN THE FADE;25494;2020;Não Informado;;;Hyash Tanmoy;Zero Degree Arts
DIE MY LOVE;25415;2025;16;Drama;Jennifer Lawrence, Robert Pattinson, Sissy Spacek, LaKeith Stanfield, Nick Nolte, Gabrielle Rose, Clare Coulter, Sarah Lind, Luke Camilleri, Victor Zinck, Jr., Debs Howard, Phillip Forest Lewitski, Georgina Lightning, Darren Moore, Lauren Viau, Michael Shepherd, Qado, Kasmere Trice Stanfield, Tom Carey, Tyler Lynn Smith, Saylor McPherson, Sarah Vanderschoot, Phoenix Valentine;Lynne Ramsay;Excellent Cadaver, Sikelia Productions, Black Label Media
GEUGJANGPAN SYUPEO WINGSEU: MAEGSIMEOM SEUPIDEU;25388;2023;L;Animação, Ação, Aventura, Comédia, Família, Ficção científica;문남숙, 홍소영, 장은숙, 전태열, Jeong Yeong-wung, 김은아, Choi Bo-bae, 김은아;Xiaoqing Cai, 蔡东青;FunnyFlux Entertainment, Alpha Group, Next Entertainment World, Youku, Mofei Pictures (Beijing) International Culture & Media Co., Zhejiang Dong Yang Media Production Co.
NOSSO LAR;25249;2010;10;Drama;Renato Prieto, Fernando Alves Pinto, Rosanne Mulholland, Inez Viana, Rodrigo de Odé, Werner Schünemann, Clemente Viscaíno, Ana Rosa, Othon Bastos, Paulo Goulart, Helena Varvaki, Aracy Cardoso, Selma Egrei, Nicola Siri, Chica Xavier, Anna Cotrim, Ana Beatriz Corrêa, Lu Grimaldi, Vania Veiga, Amélia Bittencourt, Cristina Xavier, Lisa Fávero, César Cardadeiro, Ana Kutner, André Luiz Miranda, Ana Beatriz Caruncho, Suzana Saldanha;Wagner de Assis;Migdal Filmes, Cinética Filmes e Produções, Globo Filmes, 20th Century Fox Brazil
BEN IS BACK;25206;2018;14;Drama;Julia Roberts, Lucas Hedges, Courtney B. Vance, Kathryn Newton, Rachel Bay Jones, David Zaldivar, Alexandra Park, Michael Esper, Tim Guinee, Myra Lucretia Taylor, Kristin Griffith, Jack Davidson, Mia Fowler, Jakari Fraser, Cameron Scott Roberts, Jeff Auer, Henry Stram, Bill Buell, Sandra Caldwell, Nathalie Carvalho, Emily Cass McDonnell, Marquise Vilson, Melissa van der Schyff, Jocelyn Bioh, Gamze Ceylan, Michelle Hedges, Karen Willock, Leon Addison Brown, Bevan Thomas, Crystal Bock, Rosalie Tenseth, Michael David Baldwin, Ian Stark, Anna Lee Warren, Avery Soto, Vincenzo James Harty, Olivia Etchings, Kameron S. Holder, Daniella Guigliano, Julien Tornelli, Elwaldo Baptiste, Rich Campbell, John Cashin, Teddy Cañez, Rosemary Howard, Samantha Kelly, Eduardo Muniz, Leo Orgil, Sammy Peralta, Shaun Rey, Jessica VanOss, Frankie Verroca;Peter Hedges;Black Bear Pictures, Color Force, 30WEST, Sierra/Affinity, LD Entertainment, Roadside Attractions, Lionsgate
NEZHA: MO TONG NAO HAI;25155;2025;14;Animação, Ação, Fantasia, Aventura;吕艳婷, 囧森瑟夫, 瀚墨, 陈浩, 绿绮, 张珈铭, Yang Wei, 王德顺, 雨辰, 李南, Zhou Yongxi, 韩雨泽, Nan Yu, Zhang Yunqi, Xingliner, Wang Zhixing, Zhang Ji, Liang Sheng, 幻听, 零柒, 龚格尔, Chen Houlin, 小薇, 饺子;饺子;Chengdu Coco Cartoon, Beijing Enlight Pictures, Beijing Enlight Media, Chengdu Zizai Jingjie Culture Media, Beijing Coloroom Technology
TAG;25114;2018;16;Comédia, Ação;Ed Helms, Jon Hamm, Jeremy Renner, Jake Johnson, Hannibal Buress, Annabelle Wallis, Isla Fisher, Rashida Jones, Leslie Bibb, Maxwell Ross, Brayden Benson, Jaren Lewison, Braxton Bjerken, Kevin Tyler Moody, Tyler Crumley, Elijah Marcano, Braxton Alexander, Xavion Shelton, Legend Williams, Kella Raines, Th'Yana Star, Steve Berg, Nora Dunn, Brian Dennehy, Thomas Middleditch, Lil Rel Howery, Sebastian Maniscalco, Indiana Sifuentes, Trayce Malachi, Jock McKissic, Al Mitchell, Kate Kneeland, Vince Pisani, Kurt Yue, Jim Esposito, Loren Lott, Andrew Tran, Carrie Brownstein, Courtney Brown, Melissa LeEllen, Donald K. Overstreet, Grace Pippas, Tatum Price, Leslie Sides, Joey Thurmond, Doug Sinclair;Jeff Tomsic;Broken Road Productions, New Line Cinema
YOU ARE THE APPLE OF MY EYE;25107;2011;Não Informado;Romance, Comédia, Drama;Kai Ko, 陳妍希, 郝劭文, 敖犬, 蔡昌憲, 侯彥西, 彎彎, 賴雅妍, 黃柏鈞, 柯義浤, 王彩樺, 賴炳輝, 陳繼平, 李鳳新, 高麗紅, 李維維, 段正平, 陳永晉, 嚴藝文, 蔡武雄, 陳弘璟, 黃逸祥, 吳冠廷, 孫綻, 劉馨方, 方志友, 黃于柔, 林冠菁, 張玉麟, 邱彥翔, 王瀞櫻, 施瑋昱, 張雅晴, 林俞璇, 黃鉦鈞, 黃馨俞, 林珮群, 鄭心豪, 白淞瑜, 花詠萱, 賴眉宇, 陳勝傑, 姚俞慈, 謝益佳, 葉依依, 黃霈琪, 胡善德, 廖明良, 劉安琪, 周家盛, 張韶玲, 陳潔, 張又權, 孫晨峰, 謝宗勳, 張倍瑄, 楊文君, 黃乙芳, 蔣宛蒨, 蔡雅婷, 江鈞翰, 江珮芝, 施柏學, 林玟音, 王皓平, 陳淑芳, 姚宗威, 蕭宇君, 林英枝, 陳筱佩, 廖美雪, 邵奕儒, 楊鈞麟, 林敬峰, 許先晴, 白植竣, 九把刀;九把刀;Star Ritz Productions, Sony Music Entertainment Taiwan, 20th Century Fox
I BELIEVE;25097;2019;12;Família, Drama;Rowan Smyth, Matt Lindquist, Wilford Brimley, Jeremy London, Tom Sizemore, William McNamara, Sarah Navratil, Thomas Silcott, Savanah Faith Milby, Chelsea Rendon, Maahra Hill, Armazd Stepanian, Stacey Peretzki, William Thomas Jones, Tate Berney, Sage Kirkpatrick, Judith Young, Vince Cecere, Philip Ursino, Karen Strassman, Craig Tsuyumine, Dawn Forrester, Annalisa Guidone, Emeily Flyr, Fiammetta Cavatorta, Andrew Gonzalez, Aria Emory, Jon Lance Duran, Koushik Chattopadhyay, Jason Shaffer, Elijah Dilbeck, Jazmyn Zuniga;Juergen Peretzki, Stacey Peretzki;Screen Savers Entertainment
LE DERNIER SOUFFLE;25079;1999;Não Informado;Crime, Drama;Luc Picard, Julien Poulin, Michel Goyette, Serge Houde, Lorne Brass, Linda Singer, Donovan Reiter, Chip Chuipka, Doris Milmore, Richard Robitaille, Steve Banner, Anatoly Zinoviev, Sean Devine, Ekaterina Cheina, Catherine Brunet, Paul Ahmarani, Tobie Pelletier, Paul Dion, Danny Gilmore, Anthony T. Gauvin, Rebecca Dewey, Mark Antony Krupa, Don Kirk, Dean Hagopian, Catherine Colvey, Marina Ateova, Vladimir Dupark, Pat Fry, Jennifer Marcil, Peter Colvey, Robert Mattigetz, Ghislain Massicotte, Dino Tosques, Linda E. Smith, Winston O'Donnell, Anik Matern, Paul Dion, Carlo Essagian, Guy-Daniel Tremblay, Philippe Provencher, Jean-Bernard Côté, Mario Greaves, Jean-Guy Dupuis, Roger Gagnier, Jean-Guy Ladouceur, Robert Vallieres, Luc-Martial Dagenais, Rita Ricignuolo, Sylvain Landry, Michel Hamel, Jean-Marc Bisson, Benoit Deschamps, Hugh Scott, Veronique Albert, Melanie Bursey, Anna Reka, Inna Tkachenko, Jessica Vaillet Loblaw, Gabrielle Blackburn Gravel, Laurence Hamelin;Richard Ciupka;Les Films Vision 4
ONCE UPON A DEADPOOL;25069;2018;14;Comédia, Ação, Aventura, Ficção científica;Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Leslie Uggams, Karan Soni, Brianna Hildebrand, Jack Kesy, Eddie Marsan, 忽那汐里, Stefan Kapičić, Randal Reeder, Nikolai Witschl, Thayr Harris, Rob Delaney, Lewis Tan, Bill Skarsgård, Terry Crews, Brad Pitt, Paul Wu, Robert Maillet, Alan Tudyk, Matt Damon, Michasha Armstrong, Joe Doserro, Hayley Sales, Islie Hirvonen, Jagua Arneja, Gerry South, Mike Dopud, Luke Roessler, Andy Canete, Tanis Dolman, Eleanor Walker, Hunter Dillon, Sala Baker, Sonia Sunger, Paul Wernick, Rhett Reese, Abiola Uthman, Tony Bailey, David Cook, Alex Kliner, Elaine Kliner, David Leitch, Valencia Budijanto, Stefania Indelicato, Myfanwy Williams, Sam Armstrong, Alison Pickford, Paul Lazenby, Noah Beggs, Andrei Kovski, Alicia Morton, Fred Savage, Andre Tricoteux, James McAvoy, Nicholas Hoult, Evan Peters, Tye Sheridan, Alexandra Shipp, Kodi Smit-McPhee;David Leitch;20th Century Fox, Genre Films, Maximum Effort, Marvel Entertainment
DUMB MONEY;25046;2023;16;História, Comédia, Drama;Paul Dano, Shailene Woodley, America Ferrera, Pete Davidson, Seth Rogen, Myha'la, Talia Ryder, Anthony Ramos, Nick Offerman, Sebastian Stan, Rushi Kota, Kate Burton, Clancy Brown, Vincent D'Onofrio, Olivia Thirlby, Dane DeHaan, Larry Owens, Andrea Cárdenas, Noel Tyler Torres, Nico Calero, Gerardo Rodriguez, Rosalie Berrido, Zora Casebere, Deniz Akdeniz, Avery Cole, Denis Ooi, Christina Brucato, David Faber, Khaya Fraites, Lucie Bhisitkul, Leyla Eden, Mason Eden, Anwar Wolf, Brian David Tracy, Ann Marie Yoo, Marco Formosa, Tim Hayes, Dillon Geyselaers, Bryan Burton, Kristin Carey, A.J. Tannen, Ryan Hansinger, Sal Rendino, Stephen Reich, Ryan Matthew White, Jordan Ryan Griffin, Teddy Day, Anna Fikhman, Winslow Bright, Alex Goncalves Coelho, Charlize Orr, Chasity Orr, Faith Taylor, Mia Fowler, Mohammad Saleem, Zac Branciforte, Benjamin Simpson, Brian Lucas, Christian Maverick White, Dean Simone, Kirk Moody, Dustin Wayne, Merrick Hanna, Artoun Nazareth, Alexander Jo, Marcus Briddell, Kaliswa Brewster, Chase Fein, Dann Fink, Christopher Gray, Jess Kaliban, Trevor McGhie, Turna Mete, Richie Moriarty, Joanna Parson, Armando Riesco, Rebecca Soler, Carolyn Adair, Daria Bauer, Sofia Dailey, Damien Jimenez, Edward Olaie, Joshua Perez, Brianna Saavedra, Andy Talen, Neil Towne, Michael Wien, Alexandria Ocasio-Cortez, Elon Musk, Dave Portnoy;Craig Gillespie;Black Bear Pictures, Ryder Picture Company, Winklevoss Pictures
THE APPRENTICE;24965;2024;14;História, Drama, Comédia;Sebastian Stan, Jeremy Strong, Martin Donovan, Мария Бакалова, Catherine McNally, Charlie Carrick, Ben Sullivan, Mark Rendall, Joe Pingue, Ron Lea, Edie Inksetter, Matt Baram, Moni Ogunsuyi, Brad Austin, Stuart Hughes, Jim Monaco, Clare Coulter, Hume Baugh, Tammy Boundy, Jaclyn Vogl, James Downing, Jai Jai Jones, Bruce Beaton, Frank Moore, James Madge, Ian D. Clark, Mishka Thébaud, Taylor Brunatti, Addyson Douglas, Emma Elle Paterson, Valerie O'Connor, Chris Owens, Rick Hughes, Erik Snider, Jason Blicker, Sam Rosenthal, Daniel Goldenberg, Eoin Duffy, Craig Warnock, Tom Barnett, Ben Ball, Iona Rose Mackay, Samantha Espie, Fiona Mongillo, Aidan Gouveia, Don Shaxon, Charlie Seminerio, Russell Yuen, Michael Gordin Shore, Pief Weyman, Kerry Ann Doherty, Nabil Traboulsi, Michael Hough, Robert J. Tavenor, Raechel Fisher, Randy Thomas, Stefanie Martino, Myron Ron Reider, Sharon Wilcox, Gavin Pounds, Joshua Michael St. John, Chloe Madison, Benny Shilling, Brie Watson, Duke Robinson, Craig Burnatowski, Lorne Monroe, Peter Deiwick, Chris Gleason, Taylor Bernier, Patch Darragh, Domingos Andrade, Dina Roudman, Katie Layne, Salvatore Marcellino, Marvin Karon, Duane Keogh, Mary Krohnert, James Lucas Cruickshank, Henos Girma, Elliot Hunter Self, Ross Cameron Bruce Fraser, Eamon Bernard Fraser, Niamh Carolan, Michelle Doiron, Drew Catherine, Dion Yorkie, Sebb Argo, Miles Carney, David Yee, Kate Wheeler, Peter McGann, Gary Hetzler, Tara Flynn, Emily Mitchell;Ali Abbasi;Gidden Media, Head Gear Films, Metrol Technology, Scythia Films, Profile Pictures, Tailored Films, Film Institute, Film i Väst, Fís Éireann/Screen Ireland, RocketScience, LB Entertainment, AC Films, Rich Spirit, Wild 7 Films, Red Apple Productions, ScreenReleases
ISLE OF DOGS;24764;2018;12;Aventura, Comédia, Animação;Bryan Cranston, Koyu Rankin, Bob Balaban, Edward Norton, Bill Murray, Jeff Goldblum, Kunichi Nomura, Fisher Stevens, Akira Takayama, Greta Gerwig, Ken Watanabe, Frances McDormand, 村上虹郎, Harvey Keitel, Liev Schreiber, Scarlett Johansson, Tilda Swinton, Akira Ito, F. Murray Abraham, Courtney B. Vance, Yoko Ono, Mari Natsuki, 野田洋次郎, Frank Wood, Roman Coppola, Anjelica Huston, Kara Hayward, Satoshi Yamazaki, Gen Ueda, 松田龍平, Jun Takahashi, Edward Bursch, Luli Shioi, Erica Dorn, Chinami Narikawa, Chris Benz, Alex Orman, J. Wurster, Jake Ryan, 山田孝之, 秋元梢, 松田翔太, Kiyotaka Mizukoshi, 池田エライザ, Ryuhei Nakadai, Shin Mononobe, Ikunosuke, こだまたいち, Karin Okoso;Wes Anderson;Studio Babelsberg, American Empirical Pictures, Indian Paintbrush, Scott Rudin Productions
THE GLASS CASTLE;24737;2017;14;Drama;Brie Larson, Woody Harrelson, Naomi Watts, Max Greenfield, Sarah Snook, Ella Anderson, Sadie Sink, Robin Bartlett, Chandler Head, Iain Armitage, Jack Haven, Josh Caras, Olivia Kate Rice, Charlie Stowell, Charlie Guyon, Noemie Guyon, Eden Grace Redfield, Shree Crooks, Dominic Bogart, Joe Pingue, Charlie Shotwell, Alanna Bale, Andrew Shaver, Nathaly Thibault, Kyra Harper, Hamza Haq, Kenny Wong, Chris Gillett, Darrin Baker, Tyrone Benskin, Sabrina Campilii, Philippe Hartmann, Samantha Hodhod, Tessa Mossey, Sarah Camacho, Brenda Kamino, Vlasta Vrana, Sandra Flores, Ross Partridge;Destin Daniel Cretton;Lionsgate, Netter Productions, TIK Films, Waypoint Entertainment
HOW TO BE A LATIN LOVER;24685;2017;12;Comédia;Eugenio Derbez, Salma Hayek Pinault, Raphael Alejandro, Rob Lowe, Kristen Bell, Mckenna Grace, Raquel Welch, Linda Lavin, Renée Taylor, Rob Corddry, Rob Riggle, Rob Huebel, Michael Cera, Mather Zickel, Vadhir Derbez, Omar Chaparro, Michaela Watkins, Ben Schwartz, Nayah Damasen, Noel Carabaza, Manelly Zepeda, Shaula Vega, Jaime Aymerich, Ruby Marino, José Eduardo Derbez, Linda M. Gaudiani, Tim Seitter, 'Weird Al' Yankovic, Anne McDaniels, Brooklyn Rae Silzer;Ken Marino;Pantelion Films, Videocine, Lionsgate, 3Pas Studios
GATO GALACTICO E O FEITIÇO DO TEMPO;24581;2024;Não Informado;Aventura;Ronaldo de Azevedo, Erick Torres, Luiza Mezadri, Daniel Infantini, Blota Filho;Rodrigo Zanforlin;DreamBox Produções, Ronaldo Souza Produções, Synapse Distribution
THE TWILIGHT SAGA: BREAKING DAWN PART 1;24363;2011;12;Aventura, Fantasia, Romance;Kristen Stewart, Robert Pattinson, Taylor Lautner, Billy Burke, Peter Facinelli, Michael Sheen, Elizabeth Reaser, Kellan Lutz, Nikki Reed, Jackson Rathbone, Ashley Greene, Anna Kendrick, Sarah Clarke, Christian Camargo, Gil Birmingham, Julia Jones, Booboo Stewart, Mía Maestro, Casey LaBow, Maggie Grace, MyAnna Buring, Ty Olsson, Christian Sloan, James Pizzinato, Ian Harmon, Gabriel Carter, Christian Serratos, Michael Welch, Justin Chon, Christopher Heyerdahl, Jamie Campbell Bower, Andy Rukes, Alex Rice, Paul Becker, Stephanie Moseley, Kiowa Gordon, Tyson Houseman, Chaske Spencer, Bronson Pelletier, Alex Meraz, Tinsel Korey, Tanaya Beatty, Sienna Joseph, Carolina Virguez, Sebastião Lemos, Kimani Ray Smith, Tora Hylands, Mackenzie Foy, Ali Faulkner, Charlie Bewley, Daniel Cudmore, Stephenie Meyer, Melissa Rosenberg;Bill Condon;Summit Entertainment, Sunswept Entertainment, TSBD Canada Productions, TSBD Louisiana, TSBD Productions, Temple Hill Entertainment, Total Entertainment
SING SING;24339;2016;L;Animação, Comédia, Família, Música;Matthew McConaughey, Reese Witherspoon, Seth MacFarlane, Scarlett Johansson, John C. Reilly, Taron Egerton, Tori Kelly, Jennifer Saunders, Jennifer Hudson, Garth Jennings, Peter Serafinowicz, Nick Kroll, Beck Bennett, Jay Pharoah, Nick Offerman, Leslie Jones, Rhea Perlman, Laraine Newman, Adam Buxton, Brad Morris, Bill Farmer, Oscar Jennings, Leo Jennings, Caspar Jennings, Asa Jennings, Carlos Alazraqui, Wes Anderson, Sara Mann, Igor Khait, David Arnott, Daamen J. Krall, Bob Bergen, Jeremy Maxwell, Doug Burch, Daniel Mora, Britt Burton, Cathy Cavadini, Jason Pace, Townsend Coleman, Gregory Perler, Abby Craden, Paige Pollack, Jim Cummings, John DeMita, Chris Renaud, Marisa De Silva, Jessica Rotter, Willow Geer, Jessica Rau, Tara Strong, Jess Harnell, Robert Taylor, Thomas Walters, Andrew Walton, Barbara Harris, Edgar Wright, Asher Blinkoff, Jon Robert Hall, Laura Dickinson, Jen Faith Brown, Joe Matthews;Garth Jennings;Illumination
THE HOUSE THAT JACK BUILT;24319;1977;Não Informado;Drama, Comédia, Romance;Duggie Brown, Sharon Duce;Peter Hammond;BBC, BBC Manchester
MAYA THE BEE 3: THE GOLDEN ORB;24297;2021;L;Aventura, Animação, Família;Coco Jack Gillies, Benson Jack Anthony, Jimmy James Eaton, Tess Meyer, Justine Clarke, Cam Ralph, Shane Dundas, David Collins, Tom Cossettini, Frances Berry, Callan Colley, Noel Cleary, Darren Sabadina, Jordan Rainford, Christian Charisiou, Tin Pang, Evie Gillies, Sam Haft, Pip Francis, Adam Rainford, Audrey Diebel;Noel Cleary, Alexs Stadermann;Studio 100 Media, Studio B Animation, Flying Bark Productions
AMARRAÇÃO DO AMOR;24272;2021;12;Comédia;Samya Pascotto, Bruno Suzano, Ary França, Cacau Protásio, Malu Valle, Maurício de Barros, Lorena Comparato, Cássio Pandolph, Bel Kutner, Berta Loran, Clementino Kelé, Carla Daniel;Caroline Fioratti;20th Century Fox Brazil, Downtown Filmes, Paris Filmes
YAO;24260;2019;10;Comédia, Drama, Aventura;Omar Sy, Fatoumata Diawara, Lionel Louis Basse, Germaine Acogny, Alibeta, Gwendolyn Gourvenec, Abdoulaye Diop, Ismaël Charles Amine Saleh, Mame Fatou Ndoye, Aristote Laios, Aboubacar Dramé, Amadou Diop, Dior Diouf, Christophe Bigot, Fatimata Kane;Philippe Godeau;Pan-Européenne, Korokoro, France 2 Cinéma
THE SHINING;24176;1980;16;Terror, Thriller;Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson, Philip Stone, Joe Turkel, Anne Jackson, Tony Burton, Lia Beldam, Billie Gibson, Barry Dennen, David Baxt, Manning Redwood, Lisa Burns, Louise Burns, Robin Pappas, Alison Coleridge, Burnell Tucker, Jana Shelden, Kate Phelps, Norman Gay, Paul Desbois, Vivian Kubrick, Derek Lyons, Alan Harris, Peter McNamara, Guy Standeven, Reg Thomason, Skeleton (from 'House on Haunted Hill' - 1959);Stanley Kubrick;Warner Bros. Pictures, Peregrine, Hawk Films, The Producer Circle Co.
THE INSEPARABLES;24137;2023;L;Animação, Aventura, Comédia, Família;Monica Young, Danny Fehsenfeld, Olivier Paris, Dakota West, Jordan Baird, Art Brown, Donte Paris;Jérémie Degruson;nWave Pictures, Octopolis, A Contracorriente Films
I AM NOT YOUR NEGRO;24058;2017;12;Documentário;Samuel L. Jackson, JoeyStarr, Arnold Schwarzenegger, Billy Dee Williams, Rod Steiger;Raoul Peck;Independent Lens, RTBF, ARTE, Shelter Prod, RTS, Velvet Film
EL CUENTO DE LAS COMADREJAS;24014;2019;16;Comédia, Mistério;Graciela Borges, Oscar Martínez, Luis Brandoni, Marcos Mundstock, Clara Lago, Nicolás Francella, Luz Cipriota, Manuel Martínez Sobrado, Maru Zapata, Nicolás Fiore;Juan José Campanella;100 Bares, Telefe, Tornasol Media, JEMPSA, INCAA, VIS
MOONAGE DAYDREAM;23918;2022;14;Documentário, Música;David Bowie, Lou Reed, Tina Turner, Russell Harty, Dick Cavett, Mick Ronson, Trevor Bolder, Mick Woodmansey, Ken Fordham, Brian Wilshaw, Geoffrey MacCormack, John Hutchinson, Mike Garson, Rutger Hauer, Lugosi Béla;Brett Morgen;BMG, Live Nation Studios, Public Road Productions
MULHOLLAND DR.;23847;2001;16;Thriller, Drama, Mistério;Naomi Watts, Laura Harring, Justin Theroux, Ann Miller, Mark Pellegrino, Robert Forster, Dan Hedaya, Angelo Badalamenti, Patrick Fischler, Brent Briscoe, Michael Cooke, Monty Montgomery, Lee Grant, James Karen, Chad Everett, Melissa George, Scott Coffey, Richard Green, Rebekah Del Rio, Jeanne Bates, Dan Birnbaum, Lori Heuring, Marcus Graham, Bonnie Aarons, Michael J. Anderson, Geno Silva, Billy Ray Cyrus, Vincent Castellanos, Wayne Grace, Rita Taggart, Michele Hicks, Lisa Lackey, Tad Horino, Missy Crider, Kate Forster, Tony Longo, Michael Fairman, Rena Riffel, Katharine Towne, Michael Des Barres, Robert Katims, Randall Wulff, Maya Bond, Joseph Kearney, Enrique Buelna, Richard Mead, Daniel Rey, David Schroeder, Tom Morris, Mo Gallini, Diane Nelson, Charles Croughwell, Michael D. Weatherred, Lisa K. Ferguson, William Ostrander, Brian Beacock, Blake Lindsley, Adrien Curry, Tyrah M. Lindsey, Johanna Stein, Conte Candoli, Cori Glazer, Lyssie Powell, Sean Everett, Kimberly Clever, Joshua Collazo, David Frutos, Peter Loggins, Theresa Salazar, Thea Samuels, Christian Thompson, Elina Madison, Jehshua Barnes;David Lynch;StudioCanal, Les Films Alain Sarde, Asymmetrical Productions, Babbo
MULEQUE TÉ DOIDO! - MAIS DOIDO AINDA;23748;2019;Não Informado;Comédia, Aventura, Ficção científica;Erlanes Duarte, Júnior André, Nikima El Mago, Marcos Santos, Jorge Smith, Romeu Silva, Laryssa Mourão, Fátima de Franco;Erlanes Duarte;Raça Ruim Filmes, Lengo Studius
HELP, I SHRUNK MY TEACHER;23705;2015;Não Informado;Comédia, Família, Fantasia;Oskar Keymer, Lina Hüesker, Axel Stein, Justus von Dohnányi, Anja Kling, Johannes Zeiler, Michael Ostrowski, Siegfried Foster, Georg Sulzer, Maximilian Ehrenreich, Eloi Christ, Daniela Hofschneider, Otto Waalkes, Christa Schreiber, Sabine Ludwig, Alexandra Helmig, Annika Becker, Marie Becker, Joachim Zons, Basti Johnson;Sven Unterwaldt;Mini Film, Blue Eyes Fiction, Karibufilm
CORAZON ARDIENTE;23691;2022;10;Drama, Documentário;Karyme Lozano, Ignacio Ysasi, Pablo Viña, Yolanda Ruiz, Carmelo Crespo;Antonio Cuadri, Andrés Garrigó;Goya Producciones Cinematográficas S.A.
SERENITY;23480;2005;Não Informado;Ficção científica, Ação, Aventura, Thriller;"Nathan Fillion, Summer Glau, Gina Torres, Alan Tudyk, Morena Baccarin, Adam Baldwin, Jewel Staite, Sean Maher, Ron Glass, Chiwetel Ejiofor, David Krumholtz, Michael Hitchcock, Sarah Paulson, Yan Feldman, Rafael Feldman, Nectar Rose, Tamara Taylor, Glenn Howerton, Hunter Ansley Wryn, Logan O'Brien, Erik Erotas, Demetra Raven, Marley McClean, Jessica Huang, Scott Kinworthy, Erik Weiner, Conor O'Brien, Peter James Smith, Weston Nathanson, Carrie ""CeCe"" Cline, Chuck O'Neil, Amy Wieczorek, Tristan Jarred, Elaine Mani Lee, Terrence Hardy Jr., Brian O'Hare, Ryan Tasz, Colin Patrick Lynch, Terrell Tilford, Joshua Michael Kwiat, Antonio Rufino, Linda Wang, Rick Williamson, Neil Patrick Harris, Matt McColm, Marcus Young, Dennis Keiffer, Mark Winn";Joss Whedon;Universal Pictures, Barry Mendel Productions
THE FLORIDA PROJECT;23456;2017;14;Drama;Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera, Valeria Cotto, Mela Murder, Josie Olivo, Caleb Landry Jones, Aiden Malik, Edward Pagan, Jim R. Coleman, Patti Wiley, Jasineia Ramos, Rosa Medina Perez, Krystal Nicole Watts, Bronwyn Valley, Kelly Fitzgerald, Sandy Kane, Andrew Romano, Carolina Grabova, Terry Allen Jones, Karren Karagulian, Sabina Friedman-Seitz, Troy Kohlmaier, Ginger Cook, 鄒時擎, Marisol Rivera, Carl Bradfield, Joop Katana, Giovanni Rodriguez, Angel Garcia, Latanya Ortiz, Sonya McCarter, John Sutton, Adina Sutton, Betty Jeune, Shail Kamini Ramcharan, Kit Sullivan, Macon Blair, Joanne Moreno, Jason Blackwater, Lauren O'Quinn, Hannah Peterson, Cecilia Quinan, Gary B. Gross;Sean Baker;Cre Film, Freestyle Picture Company, June Pictures
DOWNTON ABBEY: A NEW ERA;23406;2022;12;Drama, Romance;Hugh Bonneville, Maggie Smith, Jim Carter, Michelle Dockery, Elizabeth McGovern, Imelda Staunton, Penelope Wilton, Robert James-Collier, Lesley Nicol, Allen Leech, Laura Carmichael, Phyllis Logan, Dominic West, Harry Hadden-Paton, Hugh Dancy, Brendan Coyle, Joanne Froggatt, Raquel Cassidy, Kevin Doyle, Michael Fox, Laura Haddock, Nathalie Baye, Fifi Hart, Jonathan Coy, Samantha Bond, Tuppence Middleton, Douglas Reith, Oliver Barker, Zac Barker, Sophie McShera, Sue Johnston, Jonathan Zaccaï, Charlie Watson, Archer Robbins, Eva Samms, Karina Samms, Paul Copley, Alex Macqueen, David Robb, Megan Barker;Simon Curtis;Carnival Films, Focus Features
